robot_x,robot_y,robot_z,aurora_x,aurora_y,aurora_z
250.0,-50.0,75.0,161.3532963589333,170.6321887302587,28.38382831671133
250.0,-50.0,85.0,168.1411097747503,171.77663428868317,35.63750554938835
250.0,-50.0,95.0,174.92892319056733,172.92107984710765,42.89118278206537
250.0,-50.0,105.0,181.71673660638436,174.0655254055321,50.144860014742406
250.0,-50.0,115.0,188.50455002220136,175.20997096395658,57.398537247419426
250.0,-50.0,125.0,195.29236343801836,176.35441652238106,64.65221448009645
250.0,-50.0,135.0,202.08017685383538,177.4988620808055,71.90589171277348
250.0,-50.0,145.0,208.8679902696524,178.64330763923,79.1595689454505
250.0,-50.0,155.0,215.6558036854694,179.78775319765447,86.41324617812752
250.0,-50.0,165.0,222.44361710128643,180.93219875607892,93.66692341080456
250.0,-50.0,175.0,229.23143051710343,182.0766443145034,100.92060064348158
250.0,-40.0,75.0,154.52083587134433,175.23657778402495,34.051022077920905
250.0,-40.0,85.0,161.30864928716133,176.38102334244942,41.304699310597925
250.0,-40.0,95.0,168.09646270297836,177.5254689008739,48.558376543274946
250.0,-40.0,105.0,174.88427611879538,178.66991445929835,55.81205377595198
250.0,-40.0,115.0,181.67208953461238,179.81436001772283,63.065731008629
250.0,-40.0,125.0,188.45990295042938,180.9588055761473,70.31940824130602
250.0,-40.0,135.0,195.2477163662464,182.10325113457176,77.57308547398306
250.0,-40.0,145.0,202.03552978206343,183.24769669299624,84.82676270666008
250.0,-40.0,155.0,208.82334319788043,184.39214225142072,92.0804399393371
250.0,-40.0,165.0,215.61115661369746,185.53658780984517,99.33411717201413
250.0,-40.0,175.0,222.39897002951446,186.68103336826965,106.58779440469115
250.0,-30.0,75.0,147.68837538375533,179.84096683779117,39.71821583913049
250.0,-30.0,85.0,154.47618879957233,180.98541239621565,46.97189307180751
250.0,-30.0,95.0,161.26400221538935,182.12985795464013,54.22557030448453
250.0,-30.0,105.0,168.05181563120638,183.27430351306458,61.47924753716156
250.0,-30.0,115.0,174.83962904702338,184.41874907148906,68.73292476983858
250.0,-30.0,125.0,181.62744246284038,185.56319462991354,75.98660200251561
250.0,-30.0,135.0,188.4152558786574,186.707640188338,83.24027923519265
