robot_x,robot_y,robot_z,aurora_x,aurora_y,aurora_z
250.0,-50.0,75.0,72.63614178872061,201.5852441896371,-157.20171828276315
250.0,-50.0,85.0,76.05634322197729,208.78370729356666,-151.16149054721262
250.0,-50.0,95.0,79.47654465523397,215.98217039749622,-145.1212628116621
250.0,-50.0,105.0,82.89674608849066,223.18063350142575,-139.08103507611153
250.0,-50.0,115.0,86.31694752174735,230.37909660535527,-133.040807340561
250.0,-50.0,125.0,89.73714895500403,237.57755970928483,-127.00057960501049
250.0,-50.0,135.0,93.15735038826071,244.77602281321438,-120.96035186945996
250.0,-50.0,145.0,96.5775518215174,251.97448591714388,-114.92012413390941
250.0,-50.0,155.0,99.9977532547741,259.1729490210734,-108.87989639835888
250.0,-50.0,165.0,103.41795468803079,266.37141212500296,-102.83966866280834
250.0,-50.0,175.0,106.83815612128747,273.5698752289325,-96.7994409272578
250.0,-40.0,75.0,63.23921558086152,204.20527049193095,-155.00325517883363
250.0,-40.0,85.0,66.6594170141182,211.4037335958605,-148.9630274432831
250.0,-40.0,95.0,70.07961844737488,218.60219669979006,-142.92279970773257
250.0,-40.0,105.0,73.49981988063158,225.80065980371958,-136.882571972182
250.0,-40.0,115.0,76.92002131388827,232.9991229076491,-130.84234423663148
250.0,-40.0,125.0,80.34022274714495,240.19758601157866,-124.80211650108095
250.0,-40.0,135.0,83.76042418040163,247.39604911550822,-118.76188876553041
250.0,-40.0,145.0,87.18062561365832,254.59451221943772,-112.72166102997987
250.0,-40.0,155.0,90.60082704691501,261.7929753233673,-106.68143329442934
250.0,-40.0,165.0,94.02102848017171,268.9914384272968,-100.6412055588788
250.0,-40.0,175.0,97.44122991342839,276.1899015312264,-94.60097782332826
250.0,-30.0,75.0,53.84228937300244,206.8252967942248,-152.80479207490407
250.0,-30.0,85.0,57.26249080625912,214.02375989815437,-146.76456433935354
250.0,-30.0,95.0,60.68269223951581,221.22222300208392,-140.724336603803
250.0,-30.0,105.0,64.1028936727725,228.42068610601345,-134.68410886825245
250.0,-30.0,115.0,67.52309510602919,235.61914920994298,-128.64388113270192
250.0,-30.0,125.0,70.94329653928587,242.81761231387253,-122.6036533971514
