robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
250.0,-50.0,75.0,180,0,0,-35.97684431398349,13.691236564542073,-262.95097777825646,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,85.0,180,0,0,-45.6116356141865,15.964273142092168,-264.366640633124,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,95.0,180,0,0,-55.2464269143895,18.237309719642262,-265.7823034879915,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,105.0,180,0,0,-64.88121821459252,20.510346297192353,-267.19796634285905,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,115.0,180,0,0,-74.51600951479553,22.783382874742447,-268.6136291977266,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,125.0,180,0,0,-84.15080081499853,25.05641945229254,-270.02929205259414,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,135.0,180,0,0,-93.78559211520154,27.329456029842632,-271.4449549074617,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,145.0,180,0,0,-103.42038341540457,29.602492607392726,-272.86061776232924,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,155.0,180,0,0,-113.05517471560758,31.87552918494282,-274.2762806171968,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,165.0,180,0,0,-122.68996601581058,34.148565762492915,-275.69194347206434,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-50.0,175.0,180,0,0,-132.32475731601357,36.421602340043,-277.1076063269319,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
250.0,-40.0,75.0,180,0,0,-38.48024122331422,4.168799505261319,-261.20277974416825,0.4756307688723389,0.4505465891098617,0.41453338294392267,0.6316211025357247
